user_id,tweet,features__name,features__id,features__screen_name,features__tweets,features__location,features__primary_geo,features__geo_type,state
378255332,@friendsoscience @scottadamssays @jg_environ @hausfath as do fossil fuels. The whole energy market is a mess of subsidies world wide,TheBug0815,378255332,TheBug0815,1,Planet Earth (I hope…),Planet Earth (I hope…),User location,
14780356,Shadowy lobbyists make people not wanna pay more for gas.. https://t.co/kiZ36JZDKn Elon's views on fossil fuels have always been revolting.,Trent Waddington,14780356,QuantumG,1,"Brisbane, Australia","Brisbane, Australia",User location,
309491911,RT @Independent: Paris suffering worst air pollution in a decade https://t.co/bElUiwrzng,Julee Dardeau,309491911,jdfly101,1,Florida,Florida,User location,Florida
367750490,RT @fightdenial: Thank you Portland! Banning new fossil fuel infrastructure through zoning laws can be replicated across the US. \n\nhttps://…,Katalin Pota - BERNIE2020,367750490,katalin_pota,1,Manhattan,Manhattan,User location, New York
460268401,Wind and Solar Are Crushing Fossil Fuels https://t.co/UVO8BHUGLB,Taylor Henderson,460268401,TaylrHndrsn,1,"Colorado, USA","Colorado, USA",User location,Colorado
3043321371,RT @dosima_org: fossil fuels are dying https://t.co/ZFAtlNCfGM,Debil-woman,3043321371,rocket_the_racc,1,"Plymouth South West, England ","Plymouth South West, England ",User location,
73425280,RT @YEARSofLIVING: It's Official: Solar Energy Cheaper Than Fossil Fuels https://t.co/w5yzkwZzVR via @EcoWatch,armando valdes,73425280,dillovaldes,1,"Lima, Peru","Lima, Peru",User location,
273595457,Exxon’s 2040 Outlook: Fossil Fuels Aren’t Going Anywhere https://t.co/zBmNHsmvvF,TheAntiType,273595457,azureblade7,1,"Indian Trail, North Carolina","Indian Trail, North Carolina",User location,Carolina
22551445,"RT @TulsiGabbard: Good job, Hawaiʻi - continuing to lead in harnessing renewable energy resources to leave fossil fuels behind.\nhttps://t.c…",Lawrence Mark,22551445,MAGICMADFAN,1,Hollywood CA USA,Hollywood CA USA,User location,California
2291706296,RT @dosima_org: fossil fuels are dying https://t.co/ZFAtlNCfGM,Vanilla Ice-9,2291706296,cveidson,1,Chicago,Chicago,User location, Illinois
242103024,"Solar was the cheapest source of electricity in 2016, and it will further undercut fossil fuels in 2017 — Quartz https://t.co/FSgSMBBMIc",Gustavo Correa 💯,242103024,GusyCorrea,1,"Florida, USA https://www.instagram.com/gusycorrea/","Florida, USA https://www.instagram.com/gusycorrea/",User location,
10149632,RT @NinjaEconomics: 2016 was the year solar panels finally became cheaper than fossil fuels. https://t.co/80EQfPHhEN,maquinista,10149632,maquinista,1,Montevideo - México DF- Madrid,Montevideo - México DF- Madrid,User location,
1596829382,"Exxon’s 2040 Outlook: Fossil Fuels Aren’t Going Anywhere - Gas, Nuclear, and Renewables Will Grow the Most, in ... https://t.co/43bzvFQ8DG",Zyite,1596829382,ZyiteGadgets,1,http://www.zyite.com/,http://www.zyite.com/,User location,
207252435,RT @HunterCutting: Is the danger of fossil fuels beginning to sink into the American consciousness? New polling numbers from Gallup: https:…,Scott Cole,207252435,wscolejr,1,MA,MA,User location,
88363368,RT @Independent: Paris suffering worst air pollution in a decade https://t.co/bElUiwrzng,(((A. L. Kennedy))),88363368,Writerer,1,Variable.,Variable.,User location,
8.01E+17,RT @PaulEDawson: Wind and solar energy to be cheaper than fossil fuels by 2018 #ActOnClimate #ClimateChange https://t.co/MeHGDZO15r,Thomas Jefferson,8.01E+17,ThomasJ17762016,1,"Northridge, Los Angeles","Northridge, Los Angeles",User location, California
470492384,"RT @InSunWeTrust: UK runs 50 per cent of electricity from low carbon sources, investments in renewable energy overtake fossil fuels...\nhttp…",Ian B,470492384,SOCIALCURRENCIE,1, #crowdsourcing #zS2z, #crowdsourcing #zS2z,User location,
490849518,RT @MikeLevinCA: Don’t believe those who say #solar will always cost too much.  And don’t forget how much we subsidize fossil fuels.  https…,Donna Staffilino,490849518,dmstaffilino,1,"Steubenville, OH","Steubenville, OH",User location,Ohio
1892943842,fossil fuels are dying https://t.co/ZFAtlNCfGM,Anand Madhvani,1892943842,dosima_org,1,we share one side,we share one side,User location,
98660237,2016 was the year #solar finally became cheaper than fossil fuels:\nhttps://t.co/Oh5ZB3Qy8M,SunHarvest Solar,98660237,SunHarvestSolar,1,"Phoenix, AZ","Phoenix, AZ",User location, Arizona
704222773,RT @filthyson: Guy - U look so silly when u chase ur tail\nDog - Ur silly for ur dependence on fossil fuels\nGuy - what did u say?\nDog - *Bar…,mageda,704222773,swageda_,1,fsu ‘21,fsu ‘21,User location,
30238286,RT @NextGenClimate: Renewable energy has reached a tipping point: https://t.co/k7d5jXNohS,carol hicks ☮️,30238286,my2twh,1,"Michigan, USA","Michigan, USA",User location,Michigan
7.86E+17,Exxon’s 2040 Outlook: Fossil Fuels Aren’t Going Anywhere https://t.co/1Zk0kTVhOG,International News,7.86E+17,internatinalnew,1,United States ,United States ,User location,
3243189006,RT @MikeLevinCA: Don’t believe those who say #solar will always cost too much.  And don’t forget how much we subsidize fossil fuels.  https…,DDay,3243189006,qedigiv,1,"Finger Lakes, N.Y.","Finger Lakes, N.Y.",User location,New York
4831487449,#ExxonMobil Exxon's 2040 Outlook: Fossil Fuels Aren't Going Anywhere. Read more: https://t.co/LZz683H7HA $XOM,Gas Utility News,4831487449,gas_utilities,1,"San Mateo, CA","San Mateo, CA",User location, California
4831133713,#ExxonMobil Exxon's 2040 Outlook: Fossil Fuels Aren't Going Anywhere. Read more: https://t.co/s0ZNnNgvm4 $XOM,Integrated Oil News,4831133713,integrated_og,1,"San Mateo, CA","San Mateo, CA",User location, California
4831266517,#ExxonMobil Exxon's 2040 Outlook: Fossil Fuels Aren't Going Anywhere. Read more: https://t.co/EOpHZZHn6d $XOM,Oil & Gas News,4831266517,oilgas_refmktg,1,"San Mateo, CA","San Mateo, CA",User location, California
890201334,"RT @InSunWeTrust: UK runs 50 per cent of electricity from low carbon sources, investments in renewable energy overtake fossil fuels...\nhttp…",Michael Kaufman,890201334,justicenfairnes,1,"Los Angeles, CA","Los Angeles, CA",User location, California
8.00E+17,RT @YEARSofLIVING: Portland Bans New Fossil Fuel Infrastructure in Stand Against Climate Change https://t.co/Kju4awserX via @insideclimate…,Jesse Kirkham,8.00E+17,decarbonatenow,1,"Indianapolis, IN","Indianapolis, IN",User location,Indiana
917473664,RT @filthyson: Guy - U look so silly when u chase ur tail\nDog - Ur silly for ur dependence on fossil fuels\nGuy - what did u say?\nDog - *Bar…,ash,917473664,ashleybossardet,1,daytona beach,daytona beach,User location, Florida
177425469,STOP SUBSIDIZING 'FOSSIL' FUELS: Green Energy Can Increasingly Match Or Beat Fossil Fuel Prices: Report https://t.co/VDQbsrsC4q,LaBlades,177425469,SoLaTiDoBlades,1,The World,The World,User location,
1673352247,RT @Independent: Paris suffering worst air pollution in a decade https://t.co/bElUiwrzng,🅰️isa 🌷 +  #NoALaReeleccion 🇵🇦  #Hala Madrid,1673352247,AAsvat,1,Panama,Panama,User location,
1499831712,RT @YEARSofLIVING: Portland Bans New Fossil Fuel Infrastructure in Stand Against Climate Change https://t.co/Kju4awserX via @insideclimate…,John Lloyd,1499831712,boyonabike62,1,Southern California,Southern California,User location,California
3080578077,Trump And His New EPA Chief Can't Support All Fossil-Fuels; They'll Have To Choose: Castle Dal.. #business #news https://t.co/IVijgKbdT0,DK,3080578077,SITWDK,1,"Selmer, TN","Selmer, TN",User location,Tennessee
